elephant_3_(lion3 ,crocodile2 ,)_22.73756seconds_6/1/2021 8:17:49 PM
elephant_1_()_0.9980128seconds_6/1/2021 8:19:17 PM
elephant_1_()_4.806425seconds_6/1/2021 8:23:41 PM
